ObjectID,GlobalID,Seating,Shelter,ETA Screen,Curb,Stop ID (NextBus),headway,Route_All,Route_1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Notes,Seating #,Route Map,Island?,Signage,any_signage,Signage_Comb,half,x,y,best_signage
2475,036dbc09-aea6-480b-9d6d-06a150fdf335,no,no,no,parking_obstructed,15915,10_20_min,29,29,,,,,,,,,,,no,no,paint_on_telephone_pole,yes,paint_on_telephone_pole,South,-122.4289975,37.71971359,2 paint_on_telephone_pole
2476,481ab03c-717b-4505-b94d-66d9af8d08cb,no,no,no,parking_obstructed,15914,10_20_min,"29, 54",29,54,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4286702,37.71968007,3 paint_on_metal_pole
2477,35afae5b-f23c-443a-a042-84581be03b1d,no,no,no,parking_obstructed,15703,20_30_min,54,54,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4288039,37.71987432,3 paint_on_metal_pole
2478,64264e50-3f3a-46c5-938c-7389ef1cd45f,no,no,no,clear,,20_30_min,52,52,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4277989,37.72127547,3 paint_on_metal_pole
2479,f4e03dbb-9f95-4365-a6b7-c828ba26a3a2,no,no,no,parking_obstructed,,20_30_min,54,54,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4274882,37.72127434,3 paint_on_metal_pole
2480,d54faeeb-cafe-4d3a-a8e1-7fd90baa99de,no,no,no,parking_obstructed,,20_30_min,52,52,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4274749,37.72127341,3 paint_on_metal_pole
2481,079d54b5-bb13-4a7a-8eca-5103f065bfef,no,no,no,parking_obstructed,17983,20_30_min,54,54,,,,,,,,,,,no,no,"paint_on_metal_pole,paint_on_pavement",yes,combination,South,-122.4276482,37.72116371,3 paint_on_metal_pole
2482,6f3af451-429b-4d1b-a224-34f5323cec8d,no,no,no,clear,13764,20_30_min,52,52,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4269961,37.7209,3 paint_on_metal_pole
2483,515ba17f-b66b-4e6c-bd4d-53ae0b68fb37,no,no,no,clear,13767,20_30_min,52,52,,,,,,,,,,,no,no,"paint_on_metal_pole,paint_on_pavement",yes,combination,South,-122.4261877,37.72050744,3 paint_on_metal_pole
2484,ff73f747-ea80-4abe-b9b1-cba81f1ffbee,no,no,no,parking_obstructed,,20_30_min,52,52,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4259077,37.72051393,3 paint_on_metal_pole
2485,3e7e8260-9dfb-47f3-9663-e93651eeab5b,yes,no,no,clear,,10_20_min,29,29,,,,,,,,,,4,no,no,"paint_on_metal_pole,paint_on_pavement",yes,combination,South,-122.4221419,37.71796501,3 paint_on_metal_pole
2486,6721a597-3e8b-4f20-adab-b2f266222920,yes,no,no,clear,,10_20_min,29,29,,,,,,,,,,4,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4226672,37.7178286,3 paint_on_metal_pole
2487,1c2578e7-0584-419e-bafd-3bcf1296b56e,yes,no,no,clear,,10_20_min,29,29,,,,,,,,,Bench,4,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4184553,37.71862251,3 paint_on_metal_pole
2488,487b5b72-8433-4563-86b1-9e2da02c3239,yes,no,no,clear,15349,10_20_min,29,29,,,,,,,,,Bench,4,no,no,"paint_on_metal_pole,paint_on_pavement",yes,combination,South,-122.4182168,37.71871728,3 paint_on_metal_pole
2489,3fc16bb7-e1db-4f73-b6e7-c31e193e8bcf,no,no,no,parking_obstructed,16949,20_30_min,56,56,,,,,,,,,,,no,no,paint_on_telephone_pole,yes,paint_on_telephone_pole,South,-122.4023873,37.71627983,2 paint_on_telephone_pole
2490,e7e73e5f-a92c-4d59-8a0d-1bbc7ee8bad4,no,no,no,parking_obstructed,16942,20_30_min,56,56,,,,,,,,,,,no,no,paint_on_telephone_pole,yes,paint_on_telephone_pole,South,-122.4040302,37.71688672,2 paint_on_telephone_pole
2491,01d8bf80-693f-4d0d-96f6-f476450df433,no,no,no,parking_obstructed,17061,20_30_min,56,56,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4052347,37.71734051,3 paint_on_metal_pole
2492,c372ea11-bf30-4248-9684-35f4772f1633,no,no,no,parking_obstructed,16945,20_30_min,56,56,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4071724,37.71779393,3 paint_on_metal_pole
2493,d132161d-aedc-4e0d-ab37-d1367758079d,no,no,no,parking_obstructed,14439,20_30_min,56,56,,,,,,,,,,,no,no,paint_on_telephone_pole,yes,paint_on_telephone_pole,South,-122.407771,37.71727417,2 paint_on_telephone_pole
2494,c734ccf9-7c34-40bf-830a-59710f6ffc14,no,no,no,parking_obstructed,17128,20_30_min,56,56,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.405744,37.71658825,3 paint_on_metal_pole
2495,6a83b1ff-e6cf-442f-ab0b-2bfcbd402e11,no,no,no,parking_obstructed,17041,20_30_min,56,56,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4062577,37.71536492,3 paint_on_metal_pole
2496,172d28cf-f789-4144-9287-8c437a502deb,no,no,no,parking_obstructed,17039,20_30_min,56,56,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4068126,37.71401602,3 paint_on_metal_pole
2497,b28088c5-721c-4dba-8587-e562513d2e49,no,no,no,clear,17328,20_30_min,56,56,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4057379,37.7119038,3 paint_on_metal_pole
