stop_code,BS_ID,STOP_NAME,STOP_LAT,STOP_LONG,max_ons,log_max_ons
13314,3314,17th St&Diamond St NW-FS/SB,37.76242,-122.43749,,
13322,3322,18th St&Church St NE-NS/BZ,37.76137,-122.4282,27,20..50
13323,3323,18th St&Church St SE-FS/BZ,37.76125,-122.42814,20,20..50
13325,3325,18th St&Castro St NW-FS/BZ,37.76095,-122.43515,39,20..50
13326,3326,18th St&Castro St SE-FS/BZ,37.76085,-122.43484,61,50..100
13327,3327,18th St&Danvers St NW-FS/BZ,37.76036,-122.44354,1,0..2
13328,3328,18th St&Danvers St SW-NS/BZ,37.76024,-122.44349,5,5..10
13329,3329,18th St&Diamond St SW-NS/BZ,37.7607,-122.43729,9,5..10
13330,3330,18th St&Dolores St NW-FS/BZ,37.76149,-122.42624,12,10..20
13331,3331,18th St&Dolores St SE-FS/BZ,37.76139,-122.42593,5,5..10
13332,3332,18th St&Eureka St NE-NS/BZ,37.76077,-122.43815,8,5..10
13333,3333,18th St&Guerrero St NW-FS/BZ,37.76162,-122.42396,16,10..20
13334,3334,18th St&Guerrero St SE-FS/BZ,37.76152,-122.42365,12,10..20
13335,3335,18th St&Hattie St NW-FS/BZ,37.76059,-122.44109,3,2..5
13336,3336,18th St&Hattie St SE-FS/BZ,37.76049,-122.44078,5,5..10
13338,3338,18th St&Mission St NW-FS/BZ,37.7619,-122.41951,66,50..100
13339,3339,18th St&Market St NE-NS/PS,37.75979,-122.44445,1,0..2
13340,3340,18th St&Noe St NE-NS/PS,37.76109,-122.43269,5,5..10
13341,3341,18th St&Noe St SW-NS/PS,37.76096,-122.43291,7,5..10
13344,3344,18th St&Sanchez St NE-NS/BZ,37.76123,-122.43046,11,10..20
13345,3345,18th St&Sanchez St SW-NS/BZ,37.76109,-122.43068,5,5..10
13348,3348,18th St&Valencia St NW-FS/BZ,37.76176,-122.42173,32,20..50
13349,3349,18th St&Valencia St SE-FS/BZ,37.76166,-122.42142,17,10..20
13354,3354,19th Ave&Eucalyptus Dr NW-NS-BZ,37.73118,-122.47496,9,5..10
13355,3355,19th Ave&Eucalyptus Dr SE-NS/BZ,37.73097,-122.47472,28,20..50
13356,3356,19th Ave&Holloway Ave NW-NS/SB,37.72111,-122.4753,69,50..100
13357,3357,19th Ave&Holloway Ave SE-NS/SB,37.72094,-122.475,11,10..20
13359,3359,19th Ave&Irving St NW-NS/BZ,37.76368,-122.47731,108,100..200
13360,3360,19th Ave&Irving St SE-NS/BZ,37.76343,-122.47704,38,20..50
13361,3361,19th Ave&Junipero Serra Blvd E-NS,37.71689,-122.47228,13,10..20
13362,3362,19th Ave&Junipero Serra Blvd N-FS ,37.71805,-122.47318,42,20..50
13363,3363,19th Ave&Junipero Serra Blvd W-NS,37.71732,-122.47297,15,10..20
13364,3364,19th Ave&Judah St SE-NS/BZ,37.7616,-122.47693,39,20..50
13365,3365,19th Ave&Judah St SW-FS/BZ,37.7614,-122.47711,119,100..200
13368,3368,19th Ave&Lawton St SE-NS/BZ,37.75786,-122.47654,14,10..20
13369,3369,19th Ave&Lawton St SW-FS/BZ,37.75789,-122.47678,21,20..50
13371,3371,19th Ave&Lincoln Way SW-FS/BZ,37.76538,-122.4774,35,20..50
13374,3374,19th Ave&Noriega St SE-NS/BZ,37.75412,-122.47629,48,20..50
13375,3375,19th Ave&Noriega St SW-FS/BZ,37.75392,-122.47653,50,50..100
13376,3376,19th Ave&N Randolph St NW-NS/PS,37.7162,-122.47167,21,20..50
13379,3379,19th Ave&Ortega St NE-FS/BZ,37.75272,-122.47619,37,20..50
13380,3380,19th Ave&Ortega St SW-FS/BZ,37.75206,-122.4764,19,10..20
13383,3383,19th Ave&Quintara St SE-NS/BZ,37.74853,-122.4759,39,20..50
13384,3384,19th Ave&Quintara St SW-FS/BZ,37.7483,-122.47614,40,20..50
13385,3385,19th Ave&Randolph St N-FS/PS,37.71428,-122.46962,19,10..20
13387,3387,19th Ave&Randolph St NW-NS/PS,37.71444,-122.47,19,10..20
13388,3388,19th Ave&Rivera St SE-NS/BZ,37.74667,-122.47577,11,10..20
13389,3389,19th Ave&Rivera St SW-FS/BZ,37.74647,-122.47601,6,5..10
13390,3390,19th Ave&Sloat Blvd SW-FS/SB,37.73456,-122.4752,8,5..10
13391,3391,19th Ave&Sloat Blvd NE-FS/BZ,37.73472,-122.47497,24,20..50
13394,3394,19th Ave&Taraval St NE-FS/BZ,37.74331,-122.47554,150,100..200
13395,3395,19th Ave&Taraval St NW-NS/BZ,37.74318,-122.47578,100,100..200
13398,3398,19th Ave&Vicente St SE-NS/SB,37.7392,-122.47528,21,20..50
13399,3399,19th Ave&Vicente St SW-FS/BZ,37.73901,-122.47553,13,10..20
13402,3402,19th Ave&Winston Dr NE-FS/SB,37.72719,-122.47468,113,100..200
13410,3410,20th St&3rd St NW-FS/BZ,37.76054,-122.38871,122,100..200
13411,3411,20th St&3rd St SE-FS/BZ,37.76047,-122.38841,80,50..100
13425,3425,22nd Ave&Irving St NE-FS/BZ,37.76368,-122.48027,75,50..100
13426,3426,22nd Ave&Judah St SE-NS/PS,37.76146,-122.48011,18,10..20
13427,3427,22nd Ave&Kirkham St SE-NS/PS,37.75959,-122.47998,6,5..10
13428,3428,22nd Ave&Lawton St SE-NS/SB,37.75775,-122.47985,8,5..10
13429,3429,22nd Ave&Lincoln Way SE-NS/PS,37.76519,-122.48037,4,2..5
13430,3430,22nd Ave&Moraga St SE-NS/SB,37.7559,-122.47971,14,10..20
13431,3431,22nd Ave&Noriega St NE-FS/BZ,37.75434,-122.47961,73,50..100
13432,3432,22nd St&3rd St NE-NS,37.75801,-122.38809,14,10..20
13435,3435,22nd St&Iowa St NE-FS/BZ,37.75775,-122.39227,38,20..50
13436,3436,22nd St&Minnesota St NE-NS,37.75787,-122.39008,11,10..20
13437,3437,22nd St&Minnesota St SE-NS,37.75781,-122.39027,7,5..10
13439,3439,22nd St& Iowa St SE-NS/BZ,37.75767,-122.39231,35,20..50
13441,3441,23rd Ave&Irving St SW-FS/BZ,37.76313,-122.48148,132,100..200
13442,3442,23rd Ave&Judah St NW-NS/PS,37.76161,-122.48138,16,10..20
13443,3443,23rd Ave&Kirkham St NW-NS/AB,37.75974,-122.48124,4,2..5
13444,3444,23rd Ave&Lawton St NW-NS/PS,37.75787,-122.48111,4,2..5
13445,3445,23rd Ave&Lincoln Way SW-FS/SB,37.76503,-122.48161,3,2..5
13446,3446,23rd Ave&Moraga St NW-NS/PS,37.75601,-122.48099,2,2..5
13447,3447,23rd Ave&Noriega St NW-NS/PS,37.75414,-122.48086,25,20..50
